ID_Credito,ID_Credito_original,ID_Tienda
634abd,b00fdd1e-d40b-480a-b7b6-3b8f79634abd,9b6389a9-49bc-456e-b5aa-f5664618cc82
32b53d,b025778e-3f10-4732-b8e1-874d1d32b53d,3b412875-cac1-4eb0-9c1e-55d82df7e075
ad59cd,b0f83527-9e45-42fd-8faf-7d4cb8ad59cd,aceb86f1-f702-40be-b407-46b76cbbb1d0
4f44c0,b150b151-ff70-4af6-b490-d8171e4f44c0,7a1e0fbf-cdfb-4e4d-b875-f8cb80ce0556
8daae8,b1a684d3-34eb-4b83-bcc0-f2dcad8daae8,8acf7532-bb73-4601-8571-fe2fb6af0f8f
f77ec2,b1abead7-73f7-441f-8b99-660c60f77ec2,9723b610-ad23-43fc-9d69-97023f07f89b
4d0cee,b1eab256-d6eb-4f27-b768-61bbc54d0cee,78aac2ee-0816-4a79-9655-ad859bf07dc1
a426a0,b1ec686f-a0d6-4f20-b72d-093034a426a0,68dbe129-943f-4045-9d93-999fa52f45c8
9cde8f,b21b0182-8516-4554-a9bb-84143b9cde8f,e838334b-beb4-4c01-9089-5e990377d16b
fd0303,b238ff03-54d6-4baf-a032-baf3bffd0303,e4afc458-cba6-4608-b143-7dd839d5c2d4
920fba,b338d869-d6df-45a9-b887-7d2aa8920fba,01e41d16-3129-43ff-9bab-4dee58565f61
47c2af,b344b740-2027-4be5-a0fb-b9fcd547c2af,20099279-7a01-4bb0-8e64-8614ee4ec0af
783c2f,b3754101-2493-4454-a602-f56087783c2f,7f56c07e-2334-4e27-b358-bae2b2233fdd
7e876a,b39a89f2-05d6-4e1e-9323-9f10a57e876a,705aa6b7-ce62-4358-b067-60483e77c44a
904db3,b6354170-90bd-402f-82da-cbc867904db3,d53ca326-00ca-4e59-8558-9d0d32c8e4cc
d454d1,b6ca354a-9539-45cd-ba6e-b3458dd454d1,e3839356-fd59-435b-ab30-bb49c71b4a86
f0bab6,b8a5113e-ebbc-4673-870e-57dcf4f0bab6,da2d7cdf-549d-43c0-9d1b-de737b63f7f3
141399,b8f3c3da-80ae-44c2-94c5-cff2b8141399,7d6d6607-670c-46b6-aae3-4e472cb1f2c1
